OBJECTID,COD_ID,NOME,BARR,SUB,PAC_INI,TEN_NOM,TEN_OPE,ATIP,RECONFIG,DIST,UNI_TR_AT,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,PERD_A3a,PERD_A4,PERD_B,PERD_MED,PERD_A3a_B,PERD_A4_B,PERD_B_A3a,PERD_B_A4,PNTMT_01,PNTMT_02,PNTMT_03,PNTMT_04,PNTMT_05,PNTMT_06,PNTMT_07,PNTMT_08,PNTMT_09,PNTMT_10,PNTMT_11,PNTMT_12,PNTBT_01,PNTBT_02,PNTBT_03,PNTBT_04,PNTBT_05,PNTBT_06,PNTBT_07,PNTBT_08,PNTBT_09,PNTBT_10,PNTBT_11,PNTBT_12,DESCR,PERD_A3aA4,PERD_A4A3a
"1",ABR0101,ABR  0101,DABR-IB-B12-BRRIGD,DABR,06048-51422B58BF5A,"49",1.05,"1","0","390",DABR-EQ-TR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0
"2",ABR0102,ABR  0102,DABR-IB-B12-BRRIGD,DABR,02548-51422B58BF5A,"49",1.05,"0","0","390",DABR-EQ-TR2,1221870.653,1072073.094,1184585.874,874504.3643,914856.9442,867224.6142,890441.7932,982322.8386,1041181.613,1075310,1034352.952,1047025.232,0,12896.53985,69437.33504,28666.8989,0,503422.7916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95378.64075,78454.78824,92779.06515,57056.41606,71144.51254,63998.65954,70004.13463,74193.29512,77970.49419,72207.60484,69931.53715,75568.63131, ,0,0
"3",ABR0103,ABR  0103,DABR-IB-B12-BRRIGD,DABR,05448-51422B58BF5A,"49",1.045,"0","0","390",DABR-EQ-TR1,2694007.7,2480942.906,2665098.611,2240192.885,2472692.198,2362827.324,2455218.559,2552969.346,2385896.522,2489625.564,2485671.599,2515101.009,0,195984.3428,342980.1558,88418.04337,0,806663.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212899.4461,183929.2121,210844.9661,164578.7296,195097.1242,177950.2086,197535.5345,195638.1341,188058.0576,172717.6082,178231.1446,184380.8784, ,0,0
"4",ABR0104,ABR  0104,DABR-IB-B12-BRRIGD,DABR,04848-51422B58BF5A,"49",1.05,"0","0","390",DABR-EQ-TR1,1367259.181,1242098.128,1343098.16,1061919.403,1176463.203,1065960.192,1061467.992,1193449.516,1185813.622,1199573.836,1285781.03,1307376.655,0,19590.44878,149822.1885,51063.73983,0,470853.6088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108542.1279,92855.03237,106855.8632,83008.1697,94045.57996,81685.34615,86262.78056,92114.33276,97269.08359,86536.0566,97114.10401,97628.80321, ,0,0
"5",ABR0105,ABR  0105,DABR-IB-B12-BRRIGD,DABR,01948-51422B58BF5A,"49",1.05,"0","0","390",DABR-EQ-TR2,3522517.319,3380556.266,3649443.807,3081130.937,3347760.426,3184945.5,3276009.938,3431586.881,3325999.243,3321536.795,3615227.52,3440821.781,0,444002.6597,478945.6511,105633.0567,0,954655.3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275487.0708,247869.8147,286300.2127,204469.9599,260874.1547,235761.8109,258326.3773,259691.2005,250994.2413,224026.6175,246173.7306,248822.4232, ,0,0
"6",ABR0106,ABR  0106,DABR-IB-B12-BRRIGD,DABR,01348-51422B58BF5A,"49",1.05,"1","0","390",DABR-EQ-TR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0
"7",ABR0107,ABR  0107,DABR-IB-B12-BRRIGD,DABR,04248-51422B58BF5A,"49",1.05,"0","0","390",DABR-EQ-TR1,1212966.162,1041147.353,1171132.044,918957.8254,1008899.641,911023.3734,979901.7705,945796.0469,1124940.168,1181167.011,1126724.165,1306279.562,0,30698.87106,236026.4427,21998.03346,0,362134.9161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94293.86848,75780.00528,91398.6625,57725.91941,78108.84374,66747.30715,76569.97725,71129.87421,82831.22528,78556.13879,75055.37782,93882.38078, ,0,0
"8",ABV0100,ABV  0100,DABV-IB-B34-BRRIG1,DABV,029670-7782B58BDCA,"49",1.05,"1","0","390",DABV-EQ-TR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0
"9",ABV0102,ABV  0102,DABV-IB-B34-BRRIG1,DABV,053670-7632B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR4,1015396.444,908803.4594,1027284.27,821758.1185,974648.0007,856738.3535,836961.8362,883902.5142,936642.7357,899619.7588,917831.3473,983548.9031,0,22542.02342,164305.5625,34382.18725,0,328414.1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79765.75393,66989.52129,80940.68452,58091.01662,76566.18282,64037.73062,66846.24266,67380.09062,72825.23453,61954.73682,65176.90985,71944.24279, ,0,0
"10",ABV0103,ABV  0103,DABV-IB-B34-BRRIG1,DABV,-43480-7782B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR2,3034098.59,2836957.629,3164845.83,2589991.279,2910820.612,2711557.005,2731928.67,2914285.393,3053842.606,2841212.685,2898486.655,3062629.719,0,317999.3431,444719.9655,63238.4419,0,670904.0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240037.6939,210712.3825,251397.7344,227441.3323,237304.0106,209129.7076,227145.6974,229207.8496,250301.1303,215026.8061,237184.6559,234850.463, ,0,0
"11",ABV0104,ABV  0104,DABV-IB-B34-BRRIG1,DABV,-61400-7622B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR1,542138.4564,494360.6868,527231.4449,461892.8066,503870.6622,478416.0657,523222.3624,514931.8828,515131.164,475881.9131,490020.9749,513723.4479,0,3282.325395,67817.33091,6823.434285,0,99280.64968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43941.99157,38851.70393,42761.03387,51892.20922,43483.08572,39268.50157,49118.11954,47781.57239,54006.23513,31456.95765,65056.38665,59844.01226, ,0,0
"12",ABV0105,ABV  0105,DABV-IB-B34-BRRIG1,DABV,011590-7782B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR4,322252.1241,308653.429,336263.1989,286199.2472,336502.9056,315389.9845,298042.8424,324474.4412,335896.3834,304243.3087,275867.6489,329726.5202,0,747.733877,46680.6297,3520.771249,0,57495.31344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26371.41485,24417.41922,27430.50666,39877.23167,29428.14258,26675.65545,26083.17086,27741.00164,34698.69202,30610.92922,35681.9472,28885.86123, ,0,0
"13",ABV0106,ABV  0106,DABV-IB-B34-BRRIG1,DABV,017670-7782B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR3,1892043.924,1685603.468,1860592.748,1562206.605,1688355.352,1590821.168,1673196.802,1672009.414,1816685.71,1757470.5,1605868.239,2033299.149,0,98269.61205,201430.5889,58091.01834,0,596595.8664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150327.6819,125764.4508,147922.0478,127047.428,134948.2711,121187.5562,137663.72,130159.7862,150514.9659,129986.242,124214.3697,152464.4887, ,0,0
"14",ABV0107,ABV  0107,DABV-IB-B34-BRRIG1,DABV,-79480-7622B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR2,2023823.208,1743827.165,1900903.334,1621475.974,1700000.843,1648601.161,1726201.156,1746475.552,1896932.685,1974383.68,1610079.661,1831223.24,0,114159.9742,277224.3743,52663.85397,0,584077.1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159310.0948,129085.5853,150175.4717,121741.9612,134485.5746,124148.0288,137799.1433,132327.2747,147810.5571,133566.7216,110378.6109,132630.6719, ,0,0
"15",ABV0108,ABV  0108,DABV-IB-B34-BRRIG1,DABV,065670-7782B58BDCA,"49",1.045,"0","0","390",DABV-EQ-TR3,1900952.447,1782617.379,1904541.383,1815055.014,1967063.931,1804651.308,1791103.61,1835524.718,1919201.243,1751512.654,1722150.672,1972046.264,0,91277.9102,237829.8659,34070.24548,0,489459.0509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153152.2358,136893.9044,153308.5528,180863.4138,160224.3122,141162.33,154167.7419,148560.6087,174355.6931,144353.027,157608.347,158337.4395, ,0,0
"16",ABV0109,ABV  0109,DABV-IB-B34-BRRIG1,DABV,109400-7782B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR1,2714109.124,2390161.136,2606960.839,2227271.772,2411212.337,2358328.051,2375263.424,2534223.959,2446541.31,2613797.873,2569551.374,2687796.32,0,216827.3705,261971.2228,67613.61209,0,898386.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213151.3527,175923.071,205233.1879,153650.2682,188950.436,175494.1107,188593.3966,192766.2731,187176.7343,177688.6314,177288.8639,195616.6975, ,0,0
"17",ABV0110,ABV  0110,DABV-IB-B34-BRRIG1,DABV,-97400-7622B58BDCA,"49",1.05,"0","0","390",DABV-EQ-TR1,2797771.366,2760057.287,3157219.131,2585164.081,2929699.153,2776314.425,2829660.488,2937960.806,3125476.918,2828509.232,2842588.787,2962698.533,0,435786.1939,493284.2666,67046.63717,0,631212.3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218945.7668,202776.4614,248161.8179,179110.6991,229659.7238,207079.0921,224779.1738,224189.1179,240973.3026,195128.5014,201021.7221,217245.9972, ,0,0
"18",AGU0100,AGU  0100,DAGU-IB-B12-BRRIG1,DAGU,025480-1422B58B92A,"49",1.05,"1","0","390",DAGU-EQ-TR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0
"19",AGU0102,AGU  0102,DAGU-IB-B12-BRRIG1,DAGU,007480-1422B58B92A,"49",1.045,"0","0","390",DAGU-EQ-TR3,87353.54694,79074.83493,87535.97045,120951.0762,37772.46288,69441.82341,80938.98179,94346.81683,82527.88433,61607.39489,86463.71204,65855.92131,0,127.696994,29807.1832,102.889774,0,23320.79057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6373.615635,5351.253394,6468.678844,3233.958986,2730.162082,4568.069666,5718.459049,6643.877183,4537.505951,3508.338746,4429.781063,4434.984767, ,0,0
"20",AGU0103,AGU  0103,DAGU-IB-B12-BRRIG1,DAGU,019480-1422B58B92A,"49",1.05,"0","0","390",DAGU-EQ-TR3,2915616.586,2759403.233,2880652.931,2554106.297,2780293.706,2677911.261,2829552.344,2913878.754,2966615.857,2980060.39,2744652.169,2898911.662,0,466142.2528,492317.4545,118182.8473,0,544504.6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229753.626,204034.772,227610.3427,180805.6681,218664.7697,200691.3938,226236.4126,222502.0942,232070.1807,206633.4279,196286.9494,212534.9399, ,0,0
"21",AGU0104,AGU  0104,DAGU-IB-B12-BRRIG1,DAGU,-88510-4992B58B92A,"49",1.045,"0","0","390",DAGU-EQ-TR1,1894483.181,1716869.07,1836364.226,1475715.725,1594215.645,1543332.898,1654123.553,1702481.954,1869235.642,1910846.524,2046427.764,1990147.237,0,211515.6389,333589.5064,29561.24866,0,463940.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146969.3644,124742.8349,143059.161,90907.70094,123148.0897,112724.9447,128795.9155,127763.1959,136461.6425,126470.2466,135181.7385,142728.8128, ,0,0
"22",AGU0105,AGU  0105,DAGU-IB-B12-BRRIG1,DAGU,-56510-4992B58B92A,"49",1.05,"0","0","390",DAGU-EQ-TR2,598749.7998,562120.6686,682893.17,589773.9671,601052.7403,649350.1922,659621.538,646388.4109,661349.913,663434.4178,548565.3335,515271.1015,0,53230.29424,60068.88128,28063.09112,0,230031.2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46460.21742,40894.55145,53210.32389,36410.96986,46440.94992,47472.81955,51352.18956,48519.93698,48327.23022,43933.39154,36239.25785,36962.77439, ,0,0
