OBJECTID;COD_ID;DIST;POS;NOME;DESCR;Shape_Length;Shape_Area
1;DPRI;390;PD;ETD PIRITUBA; ;0.00228968303785916;3,23E+07
2;BCAL;390;PD;EBC CAPELA; ;0.000690213836359741;2,98E+06
3;DCAL;390;PD;ETD CAPELA; ;0.00280625413044828;4,53E+07
4;DPAN;390;PD;ETD PAINEIRAS; ;0.00195421661162849;1,78E+07
5;SAB8;390;CS;ETC SABESP - GUARAU-JARAGUA; ;0.00201524117698908;2,17E+07
6;DGUA;390;PD;ETD GUARAPIRANGA; ;0.00273301657522065;3,98E+07
7;CPT8;390;CS;ETC CPTM - MORUMBI; ;0.000753153987215966;3,54E+06
8;ABRI;390;CS;ETC ABRIL CULTURAL; ;0.000752826027600663;3,54E+06
9;DMOR;390;PD;ETD MORUMBI; ;0.00227042560825715;3,09E+07
10;SABO;390;CS;ETC SABO; ;0.000753608898196636;3,54E+06
11;DLAP;390;PD;ETD LAPA; ;0.00301577875682662;3,13E+07
12;DBAL;390;PD;ETD BELA ALIANÇA; ;0.00381009774024431;5,87E+07
13;UTRA;390;G;ETU TRAIÇÃO; ;0.00208096486855162;2,55E+07
14;DRBO;390;PD;ETD RIO BONITO; ;0.00372109828821458;8,39E+07
15;VIDL;390;CS;ETC VIDRARIA STA MARINA - LAPA; ;0.000752861721252826;3,54E+06
16;SAB7;390;CS;ETC SABESP TEODORO RAMOS; ;0.00075320493400496;3,54E+06
17;DMOC;390;PD;ETD MONÇÕES; ;0.00269579614852298;4,30E+07
18;DITA;390;PD;ETD ITAIM; ;0.00173732307889414;1,88E+07
19;DABV;390;PD;ETD ALTO DA BOA VISTA; ;0.00221962226206696;3,01E+07
20;DVAR;390;PD;ETD VARGINHA; ;0.00247468347469291;3,59E+07
21;DSAB;390;PD;ETD SABARÁ; ;0.00224534714397558;3,03E+07
22;CPT3;390;CS;ETC CPTM - CIDADE DUTRA; ;0.000753405313134981;3,54E+06
23;DSUM;390;PD;ETD SUMARÉ; ;0.00255360277987419;3,82E+07
24;PSRO;390;PD;PMF SÃO ROQUE; ;0.000752609646518736;3,53E+06
25;PPGO;390;PD;PMF PORTO GÓES; ;0.000752334001152439;3,53E+06
26;DRAS;390;PD;ETD RASGÃO; ;0.000650419416606873;2,41E+06
27;DVGR;390;PD;ETD VARGEM GRANDE; ;0.00316009618167807;6,23E+07
28;SJUQ;390;PD;ESD JUQUITIBA; ;0.00236818616705832;3,12E+07
29;MAMO;390;CS;ETC MAMORÉ; ;0.000752443518805479;3,53E+06
30;CP11;390;CS;ETC CPTM - SANTA RITA; ;0.000752828774348086;3,54E+06
31;DIVI;390;PD;ETD ITAPEVI; ;0.0017373067763041;1,82E+07
32;CECI;390;CS;ETC CECIL; ;0.000752848800770879;3,54E+06
33;SRTA;390;PD;ESD RAPOSO TAVARES; ;0.00122334208877819;8,00E+06
34;DJAN;390;PD;ETD JANDIRA; ;0.0026739937853952;4,05E+07
35;SREP;390;PD;ESD REPRESINHA; ;0.000533101866175991;1,64E+05
36;CPT2;390;CS;ETC CPTM JANDIRA; ;0.0024956577400841;2,69E+07
37;DPAR;390;PD;ETD PARNAIBA; ;0.00166423660576725;1,72E+06
38;DTMR;390;PD;ETD TENENTE MARQUES; ;0.00322218146426013;5,38E+07
39;DBRU;390;PD;ETD BARUERI; ;0.00272314184987467;4,07E+07
40;FOLH;390;CS;ETC FOLHA DA MANHÃ; ;0.00075265577978394;3,53E+06
41;VIVO;390;CS;ETC VIVO; ;0.00268520601020968;3,49E+07
42;DREG;390;PD;ETD REGIS; ;0.00311477167315409;5,57E+07
43;DITP;390;PD;ETD ITAPECERICA; ;0.00302570327524883;5,53E+07
44;DTAM;390;PD;ETD TAMBORÉ; ;0.00212748365888674;2,69E+07
45;SAB2;390;CS;ETC SABESP - BARUERI; ;0.00075279508650405;3,54E+06
46;DCPI;390;PD;ETD CARAPICUÍBA; ;0.00306139924628102;5,54E+07
47;BCPI;390;PD;EBC CARAPICUIBA; ;0.00184027220106965;1,90E+06
48;CP13;390;CS;ETC CPTM - STA TEREZINHA; ;0.000752804944550348;3,54E+06
49;DCOT;390;PD;ETD COTIA; ;0.0019748140946529;2,38E+07
50;PJOR;390;PD;PMF JORDANÉSIA; ;0.000752109817273304;3,53E+05
51;DJOR;390;PD;ETD JORDANESIA; ;0.00272522929456071;4,47E+07
52;DESP;390;PD;ETD Esplanada; ;0.0025730302962639;3,55E+07
53;ALBR;390;CS;ETC ALBRAS; ;0.000753180028500162;3,54E+06
54;HIGH;390;CS;ETC HIGH TECH; ;0.00132203156959443;1,01E+07
55;DBAV;390;PD;ETD BAVIERA; ;0.00221329141733407;2,84E+07
56;PETB;390;CS;ETC PETROBRAS - BARUERI; ;0.000752794696300759;3,54E+06
57;DMBE;390;PD;ETD MONTE BELO; ;0.00248154597132952;3,81E+07
58;DCTL;390;PD;ETD CASTELO; ;0.00387898542010828;7,60E+07
59;DHMA;390;PD;ETD HELENA MARIA; ;0.00240987815326897;3,20E+07
60;LEDE;390;CS;ETC LEDERVIN; ;0.000752849178258815;3,54E+06
61;CIN1;390;CS;ETC CINPAL I; ;0.000753117568367678;3,54E+06
62;DGPR;390;PD;ETD GATO PRETO; ;0.0032310720362598;6,32E+07
63;CP10;390;CS;ETC CPTM - OSASCO; ;0.000752842601179868;3,54E+05
64;CIMA;390;CS;ETC CIMAF; ;0.000752850661664601;3,54E+06
65;ROSA;390;PD;ETR OSASCO; ;0.00120039113103879;8,86E+06
66;DOSA;390;PD;ETD OSASCO; ;0.00269455550833126;4,38E+07
67;MERI;390;CS;ETC MERITOR DO BRASIL; ;0.000751959073046204;3,53E+06
68;BOSA;390;PD;EBC OSASCO; ;0.00166671090015324;1,57E+07
69;FLAN;390;CS;ETC FLANEL; ;0.00075284959312216;3,54E+06
70;CIN2;390;CS;ETC CINPAL II; ;0.0007531125861946;3,54E+06
71;DEMB;390;PD;ETD EMBU; ;0.0028426604117588;4,54E+07
72;SEAR;390;CS;ETC SEARA; ;0.000752713826124366;3,54E+06
73;DMAZ;390;PD;ETD MONTE AZUL; ;0.00230381783747712;3,23E+07
