OBJECTID,PN_CON,DIST,PAC,CTAT,SUB,CONJ,MUN,CEG_GD,BRR,CEP,CLAS_SUB,CNAE,TIP_CC,FAS_CON,GRU_TEN,TEN_FORN,GRU_TAR,SIT_ATIV,DAT_CON,CAR_INST,LIV,ARE_LOC,DEM_P_01,DEM_P_02,DEM_P_03,DEM_P_04,DEM_P_05,DEM_P_06,DEM_P_07,DEM_P_08,DEM_P_09,DEM_P_10,DEM_P_11,DEM_P_12,DEM_F_01,DEM_F_02,DEM_F_03,DEM_F_04,DEM_F_05,DEM_F_06,DEM_F_07,DEM_F_08,DEM_F_09,DEM_F_10,DEM_F_11,DEM_F_12,ENE_P_01,ENE_P_02,ENE_P_03,ENE_P_04,ENE_P_05,ENE_P_06,ENE_P_07,ENE_P_08,ENE_P_09,ENE_P_10,ENE_P_11,ENE_P_12,ENE_F_01,ENE_F_02,ENE_F_03,ENE_F_04,ENE_F_05,ENE_F_06,ENE_F_07,ENE_F_08,ENE_F_09,ENE_F_10,ENE_F_11,ENE_F_12,DIC_01,DIC_02,DIC_03,DIC_04,DIC_05,DIC_06,DIC_07,DIC_08,DIC_09,DIC_10,DIC_11,DIC_12,FIC_01,FIC_02,FIC_03,FIC_04,FIC_05,FIC_06,FIC_07,FIC_08,FIC_09,FIC_10,FIC_11,FIC_12,DESCR,DEM_CONT
"1","14104359","390",34963224738496973H,RACOXICAP1,OXIT,"16581","3522505", ,JARDIM ORATORIO,09.380-440,IN,2021-5/00, ,ABCN,AT,"84",A2,AT,"20181113",6400,"1",UB,6400,6422.4,6400,6400,6400,6400,6400,6400,6400,6422.4,6422.4,6400,6537.6,6400,6508.8,6400,6400,6400,6400,6400,6508.8,6595.2,6595.2,6508.8,3982960.8,4164782.4,3629145.6,3896150.4,1420970.4,1369764,3412533.6,3858544.8,3938025.6,3898015.2,3994372.8,3903393.6,387036,369266.4,358178.4,403761.6,117705.6,133624.8,325180.8,378950.4,387842.4,372974.4,352209.6,358293.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,12800
"2","447945980","390",34299240738978878H,RACMESL3,MESL,"12997","3550308", ,VILA DIVINA PASTORA,03.294-200,SP1,4912-4/03, ,ABCN,AT,"84",A2,AT,"20190906",12000,"1",UB,352508.1,310524.1,299165.6,325288.6,333977.8,317623.9,30176.9,297565.1,298855.4,339953.3,281825.9,298645,8634,8634,8634,8634,8634,8634,8634,8634,8634,8634,8634,8634,2582410.342,2683828.692,2379053.067,2635769.475,2433813.327,2501964.597,2431631.334,2411090.698,2524194.338,2566300.149,2526736.304,2588075.77,313863.569,298645.001,281825.937,339953.333,298855.447,297565.081,320176.948,317623.907,333977.774,325288.57,299165.578,310524.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,17268.4
"3","450725584","390",30285802739647052H,RAEJAN1,CBSK,"16581","3522505", ,ITAQUI,06.696-110,CO1,8112-5/00, ,ABCN,AT,"84",A2,AT,10.09.2021,354020,"1",UB,2404.8,2289.6,2016,30,0,0,0,0,0,0,0,0,2404.8,2404.8,2174.4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.2,404190,937270.8,0,0,0,0,0,0,0,0,0,5864.4,46929.6,106052.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,9200
"4","448095604","390",34698990736132004H,RAC PESB 1,PESB,"16593","3548708", ,RUDGE RAMOS,09.696-000,CO1,4110-7/00, ,ABCN,AT,"84",A2,AT,29/04/2021,5000,"0",UB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24573.6,24039.36,28370.88,31704.48,25616.16,35629.92,30857.76,38047.68,39821.76,26402.4,34450.56,37987.2,247050.72,273471.84,291906.72,326371.68,277210.08,357819.84,337991.04,358115.04,516847.68,320863.68,416236.32,417732.48,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,100,0,0, ,0
"5","45452060","390",31748454739753252H,RACCPTMOSA1,CP10,"12950","3534401", ,CENTRO,06.233-150,SP1,4912-4/01, ,ABCN,AT,"84",A2,AT,23/11/2016,0,"1",UB,4200,4200,4200,4200,4200,4200,4872,5505.6,6859.2,4958.4,4200,4200,4500,4500,4500,4500,4500,4500,4500,5407.2,6415.2,4500,4500,4500,840657.6,906840,789879.6,915490.8,563425.2,518094,983304,1798174.8,1818457.2,873896.4,661046.4,580183.2,122882.4,126108,118472.4,163350,85417.2,70963.2,137682,213591.6,236487.6,119455.2,90630,89712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"6","45452097","390",31987177739580694H,RACABB3,ASEA,"15838","3534401", ,VILA YARA,06.020-010,CO9,6810-2/02, ,ABCN,AT,"84",A2,AT,29/06/2017,0,"1",UB,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,2342414.254,2283184.547,2054967.06,1649614.412,1512071.514,1862995.607,1757587.207,1738733.353,1860031.636,2024768.435,2005462.247,2136219.168,348995.774,325487.175,306908.273,228978.932,186771.139,256962.893,249757.57,253771.969,273442.828,290231.312,260845.76,294026.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"7","45452582","390",33801345738308664H,RACFOSB2,FORS,"12835","3548708", ,TABOAO,09.655-000,CO1,6462-0/00, ,ABCN,AT,"84",A2,AT,02/06/2021,354020,"1",UB,2000,2000,2000,2000,2000,2000,1250,1250,1250,1250,1250,1250,2000,2000,2000,2000,2000,2000,1250,1250,1250,1250,1250,1250,749923.2,644500.8,559411.2,540288,458611.2,556862.4,245304,143568,127396.8,120787.2,131630.4,117763.2,75038.4,58104,56880,58248,44712,54345.6,25128,15537.6,13838.4,12830.4,13161.6,12110.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1324.8
"8","45452783","390",34963557738496672H,RACOXICAP1,OXIC,"12947","3529401", ,JARDIM ORATORIO,09.380-440,IN,2014-2/00, ,ABCN,AT,"84",A2,AT,21/11/2016,0,"1",UB,19094.4,19094.4,18864,20392.4,18748.8,18430,18864,18777.6,18489.6,19065.6,19209.6,19238.4,19180.8,19238.4,19008,19497.6,19008,18930,19209.6,18930,18930,19094.4,19238.4,19382.4,11701548,11919261.6,9106293.6,11857528.8,10879783.2,10013616,11164089.6,11740125.6,11720930.4,11376309.6,12110140.8,11443053.6,1144526.4,1039168.8,893800.8,1190196,983671.2,972784.8,1124388,1138075.2,1128434.4,1087948.8,1065988.8,1038362.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"9","45452491","390",33443178739818830H,RACCENTNOR1,CNOR,"15830","3550308", ,VILA GUILHERME,02.047-000,CO9,8112-5/00, ,ABCN,AT,"84",A2,AT,21/11/2016,200000,"1",UB,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,2937319.507,2872785.361,2666663.638,1784612.431,1607645.777,2173832.354,2070243.239,2048503.795,2251521.085,2556683.961,2479480.882,2656689.113,474698.929,463381.829,430124.537,255550.907,204187.322,331662.9,320200.934,317525.084,353390.506,405335.358,341774.059,389588.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"10","45452042","390",31476245740018195H,RACHIGHTECH1,HIGH,"12882","3505708", ,TAMBORE,06.460-120,CO9,6463-8/00, ,ABCN,AT,"84",A2,AT,13/04/1999,93500,"0",UB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56796.6,54114.9,54005.7,64717.8,49360.5,46405.8,44515.8,37881.9,42060.9,51863.7,43677.9,46920.3,562858.8,582819.3,487836.3,576256.8,496101.9,454897.8,427534.8,363073.2,375270,483096.6,438097.8,467739.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"11","356721489","390",31707361739716749H,RACLEDERVIN1,LEDE,"12950","3534401", ,CENTRO,06.233-200,CO1,6810-2/02, ,ABCN,AT,"84",A2,AT,22/11/2016,73600,"1",UB,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2280333.6,2511064.8,2481379.2,2725160.4,2516223.6,2585037.6,2486293.2,2394795.6,2629584,2633724,2702322,2899234.8,228045.6,238276.8,252691.2,284544,242373.6,252403.2,248011.2,244569.6,265719.6,260092.8,243806.4,280594.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"12","45452579","390",33777272738254172H,RACMETALLEVE2,MELB,"12996","3548708", ,JARDIM BORBOREMA,09.660-000,IN,2930-1/03, ,ABCN,AT,"84",A2,AT,22/11/2016,0,"1",UB,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,2155471.2,2542492.8,2569348.8,2971965.6,2639952,2655453.6,2783901.6,2669299.2,2605881.6,2564575.2,2459649.6,2360613.6,260056.8,279172.8,275104.8,335095.2,277351.2,292492.8,294364.8,296092.8,291218.4,272347.2,252993.6,247687.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"13","45452777","390",34878810738575074H,RACUNIPAR1,UNIP,"12947","3529401", ,JARDIM SONIA MARIA,09.380-250,IN,2021-5/00, ,ABCN,AT,"84",A2,AT,22/11/2016,47910,"1",UB,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,1849106.88,1845034.56,1599180.48,1644094.08,443736,315023.04,1369212.48,1716183.36,1654824.96,1753588.8,1781012.16,1617094.08,181952.64,163938.24,161622.72,171394.56,33505.92,33454.08,139775.04,168716.16,166078.08,172820.16,159399.36,149276.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
"14","10976332","390",33406984739400395H,LTSCAMMET1,MET4,"16574","3550308", ,LIBERDADE,01.517-040,SP1,4912-4/03, ,ABCN,AT,"84",A2,AT,31/08/2017,621000,"1",UB,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,3543993.6,3685747.2,3237350.4,3400492.8,3151718.4,3070963.2,3051667.2,3012825.6,3146284.8,3228288,3216672,3210201.6,450624,425779.2,426067.2,476083.2,386860.8,385420.8,393523.2,402278.4,425856,435513.6,404716.8,418387.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
