OBJECTID;PN_CON;DIST;PAC;CEG_GD;UNI_TR_MT;CTMT;UNI_TR_AT;SUB;CONJ;MUN;BRR;CEP;CNAE;FAS_CON;GRU_TEN;TEN_CON;SIT_ATIV;DAT_CON;POT_INST;DEM_CONT;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;DESCR
1; ;390;30934335740612080L;GD.SP.000.081.124;14259463;ALP0104;DALP-EQ-TR1;DALP;16595;3547304;GENESIS II;06.542-285; ;ABCN;BT;10;AT;13/12/2014;44.2;0;85.33;147.1;167.6;438.27;586.42;371.39;447.38;433.08;409.89;684.69;685.4;861.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201823540
2;686201;390;33360738737537952L;GD.SP.000.758.472;14399764;ALV0103;DALV-EQ-TR5;DALV;16571;3513801;PRAIA VERMELHA;09.971-580; ;ABN;BT;13;AT;14/11/2016;6.2;0;94.1;264.62;432.31;409.16;329.3;341.5;322.79;356.15;398.53;352.72;404.96;399.14;17;197;0;439;131;0;0;0;229;5;9;14;100;100;0;200;100;0;0;0;100;100;100;100; 
3;789432;390;33741660737961689L;GD.SP.000.758.139;14426315;TMO0107;DTMO-EQ-TR2;DTMO;12981;3513801;VILA NOGUEIRA;09.950-040; ;ABN;BT;13;AT;24/11/2016;7.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
4;711573;390;33462566738224984L;GD.SP.000.757.750;14407823;VPC0103;DVPC-EQ-TR5;DVPC;12996;3513801;JARDIM CAMPANARIO;09.931-560; ;ABN;BT;13;AT;02/12/2016;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
5;716550;390;33482370738240581L;GD.SP.000.758.191;14408285;VPC0110;DVPC-EQ-TR4;DVPC;12996;3513801;TABOAO;09.930-437; ;ABN;BT;13;AT;06/03/2021;6.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
6;709487;390;33455286737903437L;GD.SP.000.118.636;14407346;DIA0114;DDIA-EQ-TR1;DDIA;12902;3513801;CENTRO;09.910-720; ;ABN;BT;13;AT;08/11/2016;15.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
7;857458;390;33983476737596026L;GD.SP.000.757.702;14439030;ALV0107;DALV-EQ-TR3;DALV;16571;3548708;VILA MARININHA;09.810-680; ;ABN;BT;13;AT;26/02/2021;21.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
8;889098;390;34125166737575794L;GD.SP.000.756.232;14447766;SBC0114;DSBC-EQ-TR3;DSBC;16571;3548708;VILA MARCHI;09.810-430; ;ABN;BT;13;AT;05/12/2016;9.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
9;960814;390;34444474737329498L;GD.SP.000.758.378;14465269;RGR0102;DRGR-EQ-TR1;DRGR;12968;3548708;PARQUE SELECTA;09.791-520; ;ABN;BT;10;AT;01/12/2016;12.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
10;929002;390;34311212737392987L;GD.SP.000.778.992;14457219;RGR0102;DRGR-EQ-TR1;DRGR;12968;3548708;JARDIM SILVINA;09.791-030;6399-2/00;ABCN;BT;13;AT;01/12/2016;34.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
11;885775;390;34109772737963109L;GD.SP.000.757.813;14447250;SIL0113;DSIL-EQ-TR4;DSIL;12976;3548708;JARDIM TRES MARIAS;09.750-140; ;ABN;BT;13;AT;27/04/2013;31.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
12;870537;390;34033847738023552L;GD.SP.000.760.141;14445106;SIL0104;DSIL-EQ-TR1;DSIL;12976;3548708;ANCHIETA;09.732-190; ;ABN;BT;10;AT;22/01/2015;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
13;911657;390;34230409737634039L;GD.SP.000.757.023;14455054;SBC0106;DSBC-EQ-TR3;DSBC;16605;3548708;CENTRO;09.715-120; ;ABN;BT;13;AT;26/09/2018;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
14;362638564;390;34140334738435895L;GD.SP.000.760.530;14448092;CPE0107;DCPE-EQ-TR1;DCPE;12866;3548807;BOA VISTA;09.561-120; ;ABN;BT;13;AT;01/07/1974;1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
15;885821;390;34108089738486212L;GD.SP.000.755.613;14447293;CPE0107;DCPE-EQ-TR1;DCPE;12866;3548807;OLIMPICO;09.561-020; ;ABN;BT;13;AT;28/08/2017;36.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
16;891466;390;34136635738589484L;GD.SP.000.757.712;14447877;VPA0102;DVPA-EQ-TR1;DVPA;12995;3548807;SANTA MARIA;09.560-140; ;ABCN;BT;10;AT;29/09/2019;20.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
17;877551;390;34069256738656123L;GD.SP.000.755.661;14446240;VPA0107;DVPA-EQ-TR3;DVPA;12995;3548807;OLIMPICO;09.540-560; ;ABN;BT;13;AT;27/03/2019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
18;1149960;390;35500406737671078L;GD.SP.000.757.173;14505499;RPI0110;DRPI-EQ-TR1;DRPI;12966;3543303;JARDIM SANTO ANTONIO;09.424-470; ;ABN;BT;13;AT;01/11/1966;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
19;1132759;390;35380931737590000L;GD.SP.000.759.629;14499478;RPI0111;DRPI-EQ-TR2;DRPI;12966;3543303;ESTANCIA NOBLESSE;09.423-450; ;ABN;BT;13;AT;20/08/2014;17.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
20;1139313;390;35424633737587388L;GD.SP.000.755.530;14500258;RPI0111;DRPI-EQ-TR2;DRPI;12966;3543303;ESTANCIA NOBLESSE;09.422-020; ;ABCN;BT;13;AT;08/07/2016;14.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
21;1119324;390;35297804737900380L;GD.SP.000.757.324;14498197;RPI0110;DRPI-EQ-TR1;DRPI;12966;3543303;PARQUE ALIANCA;09.403-440; ;ABN;BT;13;AT;25/01/2013;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
22;1124879;390;35333556737892428L;GD.SP.000.755.615;14498797;RPI0109;DRPI-EQ-TR2;DRPI;12966;3543303;VILA MONTEIRO;09.403-430; ;ABN;BT;13;AT;28/07/2021;9.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
23;1165792;390;35599652737817864L;GD.SP.000.755.679;14507028;RPI0106;DRPI-EQ-TR3;DRPI;12966;3543303;JARDIM DOIS MELROS;09.402-210; ;ABN;BT;13;AT;30/09/2016;8.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
24;1170873;390;35634738737786041L;GD.SP.000.757.145;14507199;RPI0104;DRPI-EQ-TR3;DRPI;12966;3543303;JARDIM PANORAMA;09.401-120; ;AN;BT;13;AT;20/07/2021;15.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
25;1166494;390;35603320738002835L;GD.SP.000.757.265;14506945;RPI0106;DRPI-EQ-TR3;DRPI;12892;3529401;JARDIM ESPERANCA;09.341-170; ;ABN;BT;13;AT;27/08/2013;9.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
26;1158760;390;35556792738252973L;GD.SP.000.757.124;14506156;COI0102;DCOI-EQ-TR1;DCOI;12892;3529401;JARDIM EDEN;09.335-010; ;ABN;BT;13;AT;05/01/2020;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
27;1164796;390;35592161738083927L;GD.SP.000.757.250;14506797;COI0102;DCOI-EQ-TR1;DCOI;12892;3529401;JARDIM ITAPEVA;09.330-080; ;ABN;BT;13;AT;04/09/2021;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
