OBJECTID;PN_CON;DIST;PAC;CEG_GD;CTMT;UNI_TR_AT;SUB;CONJ;MUN;BRR;CEP;CNAE;FAS_CON;GRU_TEN;TEN_CON;SIT_ATIV;DAT_CON;POT_INST;DEM_CONT;DEM_01;DEM_02;DEM_03;DEM_04;DEM_05;DEM_06;DEM_07;DEM_08;DEM_09;DEM_10;DEM_11;DEM_12;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;DESCR
1;153331;390;31071526738388883M;GD.SP.000.866.023;ESP0111;DESP-EQ-TR2;DESP;15816;3515004;JARDIM SILVIA;06.804-240;9999-9/99;ABCN;MT;49;AT;03/03/2021;2520;23.7;80;80;0;0;0;0;0;0;0;0;0;0;11741.54;1019.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MTE0000602
2;464657;390;32570170737943962M;GD.SP.000.866.066;GUA0110;DGUA-EQ-TR3;DGUA;12913;3550308;JARDIM IPANEMA;04.784-010;8599-6/99;ABCN;MT;49;AT;12/11/2013;18188;205.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MTE0006492
3;353645880;390;31032165739973677M;GD.SP.000.863.377;TAM0111;DTAM-EQ-TR1;DTAM;16590;3505708;ALPHAVILLE INDUSTRIAL;06.455-020;6462-0/00;ABCN;MT;49;AT;03/05/2021;70;101.8;150;150;150;107.072;75.936;0;150;128.48;229.952;252.912;284.72;61.392;9692.46;2503.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202930344
4;316376;390;31956745740185254M;GD.SP.000.863.341;REM0113;DREM-EQ-TR2;DREM;12964;3550308;JARDIM JARAGUA;05.157-030;02/02/4930;ABCN;MT;49;AT;03/03/2018;254;92.2;110;110;110;110;110;110;110;110;110;110;110;110;3897.07;366.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200765523
5;146047;390;31022995737516566M;GD.SP.000.863.529;ITP0109;DITP-EQ-TR1;DITP;15834;3522208;JARDIM NISSALVES;06.851-200;4663-0/00;ABCN;MT;49;AT;15/04/2016;450;193.2;200;200;221.68;200;243.52;200;276.28;200;200;200;200.76;704.68;0;1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202662011
6;197636;390;31377186739319385M;GD.SP.000.621.741;GVI0104;DGVI-EQ-TR1;DGVI;16599;3510609;PARQUE SANTA TERESA;06.330-287;2851-8/00;ABCN;MT;49;AT;28/11/2013;60;75.9;170;170;170;170;170;170;170;170;170;170;170;170;0;687.17;356.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200000003
7;770992;390;33678334739067586M;GD.SP.000.621.715;IPR0102;DIPR-EQ-TR3;DIPR;15839;3550308;IPIRANGA;04.216-000;9420-1/00;ABC;MT;49;AT;20/06/2015;10550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;402499;390;32296840738616422M;GD.SP.000.866.120;TSE0105;DTSE-EQ-TR1;DTSE;15822;3550308;VILA ANDRADE;05.725-060;8511-2/00;ABCN;MT;49;AT;13/05/2014;5000;26.9;140;140;140;140;140;180;180;180;180;180;180;180;2324.75;1177.98;1862.2;2251.72;2481.71;1782.27;2420.21;2747.57;4234.56;4807.18;4062.29;2961.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MTE0002867
9;802687;390;33786592739881823M;GD.SP.000.863.577;VGU0104;DVGU-EQ-TR4;DVGU;12993;3550308;JD HEBROM;02.329-060;6512-0/00;ABCN;MT;49;AT;26/11/2013;106;9.2;90;90;90;90;90;90;90;90;90;90;90;90;1640.22;1619.47;1611.09;980.56;0;1890.85;2791.47;2863.12;3547.02;4230.14;4476.46;2497.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200285563
10;1058036;390;34910265739356204M;GD.SP.000.621.722;MAT0105;DMAT-EQ-TR4;DMAT;12934;3550308;CIDADE LIDER;08.280-100;2599-3/99;ABCN;MT;49;AT;26/11/2013;58400;119.1;184;184;184;184;184;184;184;184;184;184;184;184;10054.76;5490.62;5949.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200420337
